Rigby et al. 2013 Re-evaluation of the lifetimes of the major CFCs and CH3CCl3 using atmospheric trends		
Decimal date (year)	 Mass-weighted global OH concentration (10^-5 molecules/cm^3)	" 1-sigma uncertainty, excluding emissions uncertainty (10^-5 molecules/cm^3)"
1995.17	11.49	0.9
1995.25	11.56	0.9
1995.33	11.73	0.91
1995.42	11.88	0.92
1995.5	12.03	0.92
1995.58	11.95	0.92
1995.67	11.83	0.91
1995.75	11.65	0.9
1995.83	11.71	0.9
1995.92	11.71	0.9
1996	11.65	0.9
1996.08	11.47	0.88
1996.17	11.37	0.87
1996.25	11.41	0.88
1996.33	11.28	0.86
1996.42	11.17	0.85
1996.5	11.06	0.84
1996.58	11.08	0.84
1996.67	11.12	0.84
1996.75	11.2	0.85
1996.83	11.05	0.84
1996.92	10.91	0.83
1997	10.76	0.82
1997.08	10.61	0.81
1997.17	10.45	0.79
1997.25	10.28	0.78
1997.33	10.2	0.77
1997.42	10.14	0.77
1997.5	10.08	0.76
1997.58	10.13	0.76
1997.67	10.18	0.77
1997.75	10.24	0.77
1997.83	10.3	0.77
1997.92	10.36	0.78
1998	10.45	0.78
1998.08	10.42	0.78
1998.17	10.4	0.78
1998.25	10.39	0.78
1998.33	10.41	0.78
1998.42	10.43	0.78
1998.5	10.44	0.78
1998.58	10.44	0.78
1998.67	10.43	0.79
1998.75	10.43	0.79
1998.83	10.55	0.79
1998.92	10.67	0.8
1999	10.81	0.81
1999.08	10.85	0.81
1999.17	10.87	0.81
1999.25	10.88	0.81
1999.33	10.91	0.82
1999.42	10.92	0.82
1999.5	10.93	0.82
1999.58	10.89	0.81
1999.67	10.83	0.81
1999.75	10.75	0.8
1999.83	10.74	0.81
1999.92	10.74	0.81
2000	10.73	0.81
2000.08	10.76	0.81
2000.17	10.82	0.82
2000.25	10.89	0.83
2000.33	10.87	0.83
2000.42	10.87	0.83
2000.5	10.88	0.83
2000.58	10.92	0.84
2000.67	10.96	0.84
2000.75	11.01	0.85
2000.83	11.01	0.85
2000.92	11	0.85
2001	10.98	0.85
2001.08	10.97	0.85
2001.17	10.96	0.85
2001.25	10.92	0.85
2001.33	10.99	0.86
2001.42	11.05	0.86
2001.5	11.1	0.87
2001.58	11.1	0.87
2001.67	11.11	0.87
2001.75	11.13	0.87
2001.83	11.15	0.88
2001.92	11.18	0.88
2002	11.22	0.88
2002.08	11.24	0.88
2002.17	11.27	0.89
2002.25	11.33	0.89
2002.33	11.24	0.89
2002.42	11.13	0.88
2002.5	11.02	0.87
2002.58	11.06	0.88
2002.67	11.09	0.88
2002.75	11.11	0.88
2002.83	11.02	0.88
2002.92	10.91	0.87
2003	10.76	0.86
2003.08	10.74	0.86
2003.17	10.72	0.86
2003.25	10.7	0.86
2003.33	10.78	0.87
2003.42	10.88	0.87
2003.5	10.98	0.88
2003.58	11.01	0.88
2003.67	11.04	0.89
2003.75	11.1	0.89
2003.83	11.22	0.9
2003.92	11.32	0.9
2004	11.41	0.91
2004.08	11.55	0.92
2004.17	11.66	0.93
2004.25	11.71	0.93
2004.33	11.68	0.93
2004.42	11.62	0.93
2004.5	11.54	0.92
2004.58	11.48	0.92
2004.67	11.4	0.91
2004.75	11.29	0.9
2004.83	11.21	0.89
2004.92	11.14	0.89
2005	11.07	0.88
2005.08	10.95	0.87
2005.17	10.86	0.86
2005.25	10.82	0.85
2005.33	10.77	0.84
2005.42	10.77	0.84
2005.5	10.79	0.84
2005.58	10.79	0.84
2005.67	10.8	0.84
2005.75	10.82	0.84
2005.83	10.85	0.85
2005.92	10.89	0.85
2006	10.92	0.85
2006.08	10.89	0.85
2006.17	10.82	0.84
2006.25	10.71	0.83
2006.33	10.83	0.84
2006.42	10.93	0.85
2006.5	11.03	0.86
2006.58	11.04	0.86
2006.67	11.05	0.86
2006.75	11.05	0.85
2006.83	11	0.85
2006.92	10.94	0.85
2007	10.87	0.84
2007.08	10.9	0.85
2007.17	10.95	0.85
2007.25	11.04	0.86
2007.33	10.93	0.85
2007.42	10.82	0.85
2007.5	10.72	0.84
2007.58	10.65	0.84
2007.67	10.61	0.84
2007.75	10.59	0.84
2007.83	10.6	0.84
2007.92	10.62	0.84
2008	10.67	0.84
2008.08	10.55	0.83
2008.17	10.43	0.82
2008.25	10.31	0.82
2008.33	10.34	0.82
2008.42	10.34	0.82
2008.5	10.32	0.82
2008.58	10.4	0.82
2008.67	10.47	0.83
2008.75	10.52	0.84
2008.83	10.53	0.84
2008.92	10.52	0.84
2009	10.5	0.84
2009.08	10.53	0.84
2009.17	10.56	0.85
2009.25	10.59	0.85
2009.33	10.43	0.84
2009.42	10.28	0.83
2009.5	10.14	0.82
2009.58	10.22	0.84
2009.67	10.32	0.85
2009.75	10.41	0.87
2009.83	10.41	0.87
2009.92	10.4	0.87
2010	10.38	0.87
2010.08	10.41	0.88
2010.17	10.44	0.88
2010.25	10.47	0.89
2010.33	10.6	0.9
2010.42	10.71	0.91
2010.5	10.83	0.92
2010.58	10.78	0.91
2010.67	10.74	0.91
2010.75	10.74	0.91
2010.83	10.76	0.91
2010.92	10.81	0.91
2011	10.89	0.91
2011.08	10.97	0.92
2011.17	11.05	0.92
2011.25	11.12	0.93
2011.33	11.27	0.95
2011.42	11.39	0.97
2011.5	11.49	0.98
